gen,dpw,dpw_NMDF,dtd,dtd_NMDF,dmi,dmi_NMDF,dvac,dvac_NMDF,dtap,dtap_NMDF
25,0.7843925520069316,125.66610058428904,0.7852848761308006,8.996188928622669,0.6166723366797668,809314.1523947302,0.2655391539759983,21.86878706640333,0.7852848761308006,8.996188928622665
26,0.7777408446709979,125.66610058428904,0.7797610063050394,8.996188928622669,0.608027226953848,809314.1523947302,0.18556516340863868,21.86878706640333,0.7797610063050396,8.996188928622665
27,0.7701737921855896,125.66610058428904,0.7722295580892455,8.996188928622669,0.5963384903867108,809314.1523947302,0.20277364093649533,21.86878706640333,0.7722295580892452,8.996188928622665
28,0.7695488629177134,125.66610058428904,0.7703326467364106,8.996188928622669,0.5934123866279233,809314.1523947302,0.19196903437685467,21.86878706640333,0.7703326467364106,8.996188928622665
29,0.7584728669705262,125.66610058428904,0.7611972576433323,8.996188928622669,0.5794212650437307,809314.1523947302,0.14560104742952779,21.86878706640333,0.761197257643333,8.996188928622665
30,0.7470603528237052,125.66610058428904,0.7478549895121562,8.996188928622669,0.5592870853382271,809314.1523947302,0.11101215179856115,21.86878706640333,0.7478549895121561,8.996188928622665
31,0.752268736021135,125.66610058428904,0.7549837749732926,8.996188928622669,0.5700005004729237,809314.1523947302,0.308706867747452,21.86878706640333,0.7549837749732929,8.996188928622665
32,0.7318864604102003,125.66610058428904,0.7327091767770476,8.996188928622669,0.5368627377332993,809314.1523947302,0.230608749326009,21.86878706640333,0.732709176777048,8.996188928622665
33,0.7307491868178033,125.66610058428904,0.7325303509153913,8.996188928622669,0.5366007150122268,809314.1523947302,0.05415670235356156,21.86878706640333,0.7325303509153918,8.996188928622665
34,0.7221195712657622,125.66610058428904,0.7257583005066511,8.996188928622669,0.5267251107543034,809314.1523947302,0.28961738863531683,21.86878706640333,0.7257583005066517,8.996188928622665
35,0.7098061298234865,125.66610058428904,0.711937105304443,8.996188928622669,0.5068544419092695,809314.1523947302,0.030944885630060613,21.86878706640333,0.711937105304443,8.996188928622665
36,0.7163744594704414,125.66610058428904,0.7203333714018106,8.996188928622669,0.5188801659550986,809314.1523947302,0.0689209331467294,21.86878706640333,0.7203333714018105,8.996188928622665
37,0.7033949110601785,125.66610058428904,0.7062886384264461,8.996188928622669,0.4988436407702828,809314.1523947302,0.174473639990084,21.86878706640333,0.706288638426446,8.996188928622665
38,0.6909290659282233,125.66610058428904,0.6949929797260965,8.996188928622669,0.48301524186855876,809314.1523947302,0.11466535843375987,21.86878706640333,0.6949929797260969,8.996188928622665
39,0.7101110573333986,125.66610058428904,0.7136071502643277,8.996188928622669,0.5092351649083756,809314.1523947302,0.20886145207899484,21.86878706640333,0.7136071502643283,8.996188928622665
40,0.713047456707965,125.66610058428904,0.7171569701774732,8.996188928622669,0.5143141198741333,809314.1523947302,0.09240305517935227,21.86878706640333,0.7171569701774734,8.996188928622665
41,0.687778741299564,125.66610058428904,0.6909341183628448,8.996188928622669,0.4773899559178422,809314.1523947302,0.18830977437822974,21.86878706640333,0.6909341183628452,8.996188928622665
42,0.6795611614486541,125.66610058428904,0.6841702518701969,8.996188928622669,0.46808893354412845,809314.1523947302,0.15148047114786045,21.86878706640333,0.6841702518701968,8.996188928622665
43,0.6829621124536635,125.66610058428904,0.6884665398094687,8.996188928622669,0.47398617643722296,809314.1523947302,0.1830263696816391,21.86878706640333,0.6884665398094689,8.996188928622665
44,0.6614372345766455,125.66610058428904,0.6654627416994064,8.996188928622669,0.442840660590092,809314.1523947302,0.22117318393653224,21.86878706640333,0.6654627416994072,8.996188928622665
45,0.6859803209676245,125.66610058428904,0.6909632366432193,8.996188928622669,0.47743019439247225,809314.1523947302,0.36882987987772353,21.86878706640333,0.6909632366432185,8.996188928622665
46,0.6793755145765239,125.66610058428904,0.6845229159067099,8.996188928622669,0.4685716224014247,809314.1523947302,0.24458827311162798,21.86878706640333,0.68452291590671,8.996188928622665
47,0.6650419403154488,125.66610058428904,0.6719514739867307,8.996188928622669,0.4515187833929403,809314.1523947302,0.315142398189536,21.86878706640333,0.6719514739867308,8.996188928622665
48,0.6704078449059138,125.66610058428904,0.6761819981913209,8.996188928622669,0.4572220946780078,809314.1523947302,0.216824489071787,21.86878706640333,0.6761819981913212,8.996188928622665
49,0.6744934914056409,125.66610058428904,0.6799586534479348,8.996188928622669,0.4623437703987288,809314.1523947302,0.2353330770013337,21.86878706640333,0.6799586534479349,8.996188928622665
50,0.635625362742295,125.66610058428904,0.6417779717607013,8.996188928622669,0.41187896503727967,809314.1523947302,0.16929348077022285,21.86878706640333,0.6417779717607015,8.996188928622665
51,0.6389714551869674,125.66610058428904,0.6456617068242044,8.996188928622669,0.4168790396591455,809314.1523947302,0.37459761638173017,21.86878706640333,0.6456617068242049,8.996188928622665
52,0.6483215994553797,125.66610058428904,0.6567865927455345,8.996188928622669,0.4313686284102902,809314.1523947302,0.3837889100488007,21.86878706640333,0.6567865927455359,8.996188928622665
53,0.6421774219046743,125.66610058428904,0.6507876030738929,8.996188928622669,0.42352450431466304,809314.1523947302,0.38724791421394994,21.86878706640333,0.6507876030738932,8.996188928622665
54,0.6421979958167899,125.66610058428904,0.6502900771289256,8.996188928622669,0.4228771844123441,809314.1523947302,0.23052096149250437,21.86878706640333,0.6502900771289257,8.996188928622665
55,0.6194738217750877,125.66610058428904,0.6265071493482972,8.996188928622669,0.39251120818453,809314.1523947302,0.4022589950326306,21.86878706640333,0.6265071493482977,8.996188928622665
56,0.6274360775892043,125.66610058428904,0.6351137887594148,8.996188928622669,0.40336952467233855,809314.1523947302,0.21691080626287654,21.86878706640333,0.6351137887594148,8.996188928622665
